# Data structure
# 1. ID Sender: Unique identifier for the sender
# 2. ID Reciever: Unique identifier for the receiver
# 3. Value of the transaction
# 4. Date: Date of the transaction
id, id_sender, id_reciever, value, type, date
1, CNPJ_00991, CNPJ_00001, R$ 6,898.00, PIX, 2025-03-01
2, CNPJ_02247, CNPJ_00001, R$ 30,371.00, TED, 2025-03-27
3, CNPJ_00258, CNPJ_00001, R$ 22,214.00, PIX, 2025-03-09
4, CNPJ_08158, CNPJ_00001, R$ 18,459.00, PIX, 2025-03-05
5, CNPJ_01673, CNPJ_00001, R$ 2,332.00, PIX, 2025-03-04
6, CNPJ_03888, CNPJ_00001, R$ 18,204.00, PIX, 2025-03-26
7, CNPJ_08253, CNPJ_00001, R$ 6,082.00, TED, 2025-03-02
8, CNPJ_01646, CNPJ_00001, R$ 21,831.00, SISTEMICO, 2025-04-21
9, CNPJ_00294, CNPJ_00001, R$ 14,187.00, PIX, 2025-04-23
10, CNPJ_00094, CNPJ_00001, R$ 36,875.00, SISTEMICO, 2025-04-27
11, CNPJ_01381, CNPJ_00001, R$ 12,359.00, PIX, 2025-04-05
12, CNPJ_03034, CNPJ_00001, R$ 16,534.00, BOLETO, 2025-04-21
13, CNPJ_01982, CNPJ_00001, R$ 28,592.00, PIX, 2025-05-21
14, CNPJ_03469, CNPJ_00001, R$ 21,715.00, PIX, 2025-05-16
15, CNPJ_02651, CNPJ_00001, R$ 28,549.00, PIX, 2025-05-06
16, CNPJ_07719, CNPJ_00001, R$ 2,107.00, SISTEMICO, 2025-05-03
17, CNPJ_01985, CNPJ_00001, R$ 13,395.00, BOLETO, 2025-05-06
18, CNPJ_00094, CNPJ_00001, R$ 10,324.00, PIX, 2025-03-30
19, CNPJ_00094, CNPJ_00001, R$ 11,956.00, PIX, 2025-05-30
20, CNPJ_00258, CNPJ_00001, R$ 4,922.00, TED, 2025-04-29
21, CNPJ_00258, CNPJ_00001, R$ 7,523.00, PIX, 2025-05-30
22, CNPJ_00294, CNPJ_00001, R$ 4,971.00, PIX, 2025-03-30
23, CNPJ_00294, CNPJ_00001, R$ 5,756.00, PIX, 2025-05-30
24, CNPJ_00991, CNPJ_00001, R$ 13,535.00, TED, 2025-04-29
25, CNPJ_00991, CNPJ_00001, R$ 12,144.00, BOLETO, 2025-05-30
26, CNPJ_01381, CNPJ_00001, R$ 8,528.00, PIX, 2025-03-30
27, CNPJ_01381, CNPJ_00001, R$ 3,942.00, PIX, 2025-05-30
28, CNPJ_01646, CNPJ_00001, R$ 13,047.00, PIX, 2025-03-30
29, CNPJ_01646, CNPJ_00001, R$ 3,458.00, BOLETO, 2025-05-30
30, CNPJ_01673, CNPJ_00001, R$ 6,686.00, PIX, 2025-04-29
31, CNPJ_01673, CNPJ_00001, R$ 6,130.00, PIX, 2025-05-30
32, CNPJ_01982, CNPJ_00001, R$ 4,168.00, PIX, 2025-03-30
33, CNPJ_01982, CNPJ_00001, R$ 2,859.00, PIX, 2025-04-29
34, CNPJ_01985, CNPJ_00001, R$ 8,842.00, PIX, 2025-03-30
35, CNPJ_01985, CNPJ_00001, R$ 9,436.00, BOLETO, 2025-04-29
36, CNPJ_02247, CNPJ_00001, R$ 4,997.00, PIX, 2025-04-29
37, CNPJ_02247, CNPJ_00001, R$ 13,302.00, PIX, 2025-05-30
38, CNPJ_02651, CNPJ_00001, R$ 10,661.00, PIX, 2025-03-30
39, CNPJ_02651, CNPJ_00001, R$ 13,140.00, BOLETO, 2025-04-29
40, CNPJ_00991, CNPJ_02247, R$ 7,215.00, PIX, 2025-06-01
41, CNPJ_02247, CNPJ_01673, R$ 9,842.00, TED, 2025-06-02
42, CNPJ_01673, CNPJ_01982, R$ 4,557.00, BOLETO, 2025-06-03
43, CNPJ_01982, CNPJ_00258, R$ 6,234.00, PIX, 2025-06-04
44, CNPJ_00258, CNPJ_01381, R$ 11,320.00, SISTEMICO, 2025-06-05
45, CNPJ_01381, CNPJ_01646, R$ 8,750.00, PIX, 2025-06-06
46, CNPJ_01646, CNPJ_02651, R$ 3,985.00, TED, 2025-06-07
47, CNPJ_02651, CNPJ_01985, R$ 12,114.00, BOLETO, 2025-06-08
48, CNPJ_01985, CNPJ_03888, R$ 7,662.00, PIX, 2025-06-09
49, CNPJ_03888, CNPJ_00991, R$ 5,234.00, SISTEMICO, 2025-06-10
50, CNPJ_00991, CNPJ_01646, R$ 10,123.00, PIX, 2025-06-11
51, CNPJ_02247, CNPJ_01381, R$ 6,978.00, BOLETO, 2025-06-12
52, CNPJ_01673, CNPJ_03888, R$ 4,432.00, TED, 2025-06-13
53, CNPJ_01982, CNPJ_02651, R$ 7,556.00, PIX, 2025-06-14
54, CNPJ_00258, CNPJ_01985, R$ 8,210.00, SISTEMICO, 2025-06-15
55, CNPJ_01381, CNPJ_00991, R$ 9,321.00, PIX, 2025-06-16
56, CNPJ_01646, CNPJ_02247, R$ 5,775.00, TED, 2025-06-17
57, CNPJ_02651, CNPJ_01673, R$ 11,432.00, BOLETO, 2025-06-18
