cnpj;vl_fatu;vl_sldo;dt_abrt;ds_cnae;dt_refe
CNPJ_00001;289255;25389;2021-07-29;Extração de minério de ferro;2025-01-31
CNPJ_00002;832495 ;118277;2017-02-16;Geração de energia elétrica;2025-01-31
CNPJ_00003;262869;-9899;2019-09-26;Cultivo de soja;2025-01-31
CNPJ_00004;2017818;128244;2016-11-23;Transporte ferroviário de carga;2025-01-31
CNPJ_00005;82371;1032;2022-02-12;Produção cinematográfica;2025-01-31
CNPJ_00006;18178716;-581545;2017-06-28;Comércio varejista de combustíveis;2025-01-31
CNPJ_00007;1701028;26105;2020-02-09;Distribuição de energia elétrica;2025-01-31
CNPJ_00008;1002628;-29683;2018-07-10;Extração de petróleo e gás natural;2025-01-31
CNPJ_00009;166480;-11553;2019-06-14;Administração pública;2025-01-31
CNPJ_00010;2233586;-105957;2014-08-12;Produção de ferro-gusa;2025-01-31
CNPJ_00011;31803040;-1193282;1994-01-18;Atividades hospitalares;2025-01-31
CNPJ_00012;656692;-50302;2019-04-13;Comércio atacadista de bebidas;2025-01-31
CNPJ_00013;2610501;-57846;2022-03-30;Engenharia civil;2025-01-31
CNPJ_00014;185527;-17259;2023-12-26;Educação superior;2025-01-31
CNPJ_00015;1969674;182895;2019-05-13;Restaurantes e similares;2025-01-31
CNPJ_00016;362664;-20292;2018-04-20;Comércio atacadista de alimentos;2025-01-31
CNPJ_00017;174296921;-14191420;2011-09-30;Defesa nacional;2025-01-31
CNPJ_00018;175251;13594;2019-06-05;Cultivo de soja;2025-01-31
CNPJ_00019;2344200;341593;2021-04-15;Produção de alumínio;2025-01-31
CNPJ_00020;2647053;-152009;2019-08-08;Construção de rodovias;2025-01-31
CNPJ_00021;99229866;1336175;2009-10-16;Construção de barragens;2025-01-31
CNPJ_00022;1646496;85604;2021-04-29;Defesa nacional;2025-01-31
CNPJ_00023;10745208;-639614;2021-07-13;Educação superior;2025-01-31
CNPJ_00024;234499;21432;2023-03-11;Engenharia civil;2025-01-31
CNPJ_00025;1416231;101320;2014-12-20;Atividades hospitalares;2025-01-31
CNPJ_00026;1988975;-259925;2018-08-03;Geração de energia elétrica;2025-01-31
CNPJ_00027;99074;-5878;2021-03-31;Defesa nacional;2025-01-31
CNPJ_00028;2732620;97633;2022-07-11;Fabricação de automóveis;2025-01-31
CNPJ_00029;114440;-2710;2023-12-22;Saneamento básico;2025-01-31
CNPJ_00030;188626;8697;2021-04-18;Extração de minério de ferro;2025-01-31
CNPJ_00031;825747;-30076;2018-09-11;Construção de barragens;2025-01-31
CNPJ_00032;96400;-5987;2023-12-23;Correios e entregas expressas;2025-01-31
CNPJ_00033;2136481;-151605;2014-04-27;Planos de saúde;2025-01-31
CNPJ_00034;213367;-1655;2020-02-18;Telecomunicações sem fio;2025-01-31
CNPJ_00035;1331544;103921;2019-07-10;Saneamento básico;2025-01-31
CNPJ_00036;751334;-71239;2014-04-23;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00037;1704447;-44850;2020-09-22;Comércio atacadista de calçados;2025-01-31
CNPJ_00038;1795842;-54816;2018-01-26;Construção de rodovias;2025-01-31
CNPJ_00039;4443979;-107882;2009-05-25;Telecomunicações sem fio;2025-01-31
CNPJ_00040;243152;-12672;2022-08-18;Hotéis e pousadas;2025-01-31
CNPJ_00041;144122843;2175739;2006-09-05;Fabricação de automóveis;2025-01-31
CNPJ_00042;193452;-18100;2019-06-14;Restaurantes e similares;2025-01-31
CNPJ_00043;118592;9226;2023-10-17;Comércio atacadista de calçados;2025-01-31
CNPJ_00044;2306070;-114884;2017-07-01;Construção de rodovias;2025-01-31
CNPJ_00045;240781;8031;2020-03-22;Educação superior;2025-01-31
CNPJ_00046;154453;-7011;2019-12-19;Comércio varejista de alimentos;2025-01-31
CNPJ_00047;84543;8090;2022-08-19;Consultoria empresarial;2025-01-31
CNPJ_00048;986403;-120766;2018-03-24;Comércio varejista de alimentos;2025-01-31
CNPJ_00049;696657;29072;2021-06-10;Geração de energia elétrica;2025-01-31
CNPJ_00050;902410;107424;2019-07-05;Construção de barragens;2025-01-31
CNPJ_00051;175486;16462;2020-10-05;Atividades hospitalares;2025-01-31
CNPJ_00052;170965;-6468;2019-10-10;Geração de energia elétrica;2025-01-31
CNPJ_00053;13086903;1269768;2012-06-09;Saneamento básico;2025-01-31
CNPJ_00054;129096;5687;2021-05-03;Telecomunicações sem fio;2025-01-31
CNPJ_00055;2148804;-90096;2018-07-01;Armazenamento geral;2025-01-31
CNPJ_00056;233204;-2178;2019-03-20;Construção de edifícios;2025-01-31
CNPJ_00057;188899;-3361;2020-07-12;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00058;2696307;133012;2019-01-22;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00059;293956;-8600;2020-11-05;Armazenamento geral;2025-01-31
CNPJ_00060;2208150;-164322;2022-08-03;Comércio varejista de alimentos;2025-01-31
CNPJ_00061;266114;-5745;2020-06-26;Atividades de bancos múltiplos;2025-01-31
CNPJ_00062;1901121;-68875;2014-06-28;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00063;202382;16253;2021-03-31;Correios e entregas expressas;2025-01-31
CNPJ_00064;51942;5062;2022-01-08;Serviços de tecnologia da informação;2025-01-31
CNPJ_00065;1352525;-119983;2017-06-19;Cultivo de trigo;2025-01-31
CNPJ_00066;1275708;119545;2016-10-24;Montagem industrial;2025-01-31
CNPJ_00067;182887;824;2023-09-24;Construção de edifícios;2025-01-31
CNPJ_00068;76136353;-859376;2009-01-29;Comércio atacadista de medicamentos;2025-01-31
CNPJ_00069;2204073;-218059;2015-06-07;Comércio varejista de alimentos;2025-01-31
CNPJ_00070;295964;14420;2019-09-24;Extração de minério de ferro;2025-01-31
CNPJ_00071;269800;3225;2019-01-22;Fabricação de produtos químicos;2025-01-31
CNPJ_00072;72226;2146;2023-11-30;Serviços de tecnologia da informação;2025-01-31
